usage_mins,monthly_bill,support_calls,churn
1054.1089863951288,111.60918547774747,4.9,1
892.8741379963434,46.50603826845393,3.8000000000000003,1
773.2653320789353,141.8566705059791,6.0,1
942.7624503085472,-21.54054252510273,4.9,1
860.0402939618789,186.62007649428057,4.9,1
732.1392515912538,113.75434933641185,2.7,1
867.866701645771,131.5376302001208,6.0,1
932.9876995510856,136.68388602462466,6.0,1
770.724977549828,135.24161934969058,1.6,1
1269.9497816622948,124.88404421498515,3.8000000000000003,1
697.84678724273,101.45654962689309,2.7,1
826.8394767877223,111.52369471353407,1.6,1
575.2132097306301,128.90535849418325,6.0,1
880.7678120116464,134.6520834094552,7.1000000000000005,1
827.4323808148735,112.15041196932137,6.0,1
905.1677265931894,185.9810489294892,1.6,1
831.3068378050905,63.63055307433463,6.0,1
785.2494427582153,158.71028253321043,4.9,1
998.8342860189889,118.738770214439,1.6,1
1087.2511641588474,129.47088766385326,1.6,1
736.0876392793913,139.35088279540585,7.1000000000000005,1
958.5944649081572,144.84884210674727,3.8000000000000003,1
913.1088473814123,125.9619571575076,3.8000000000000003,1
983.5878907881101,123.966338020968,2.7,0
861.0184850921328,19.078800528695933,6.0,1
1055.0065466454832,132.90915566799052,4.9,1
908.0968277255527,133.52960858223855,1.6,1
740.4214945620248,159.29142451351723,12.600000000000001,1
960.3853477087796,116.60023915893358,4.9,1
746.5060521341688,103.96506205442391,2.7,1
823.8587317967742,104.57499352881217,6.0,0
1019.8192020988826,110.45365829713906,1.6,1
806.0356002088658,109.2985484505917,4.9,1
800.9965348091441,68.92111089455723,1.6,1
1074.7289443074103,78.72534779459737,4.9,1
866.8329587112617,128.4145544367775,0.5,1
898.3779657494772,115.94124580835792,1.6,1
1005.8373491221507,108.53126662217099,1.6,1
878.3784410903199,113.55594313482075,2.7,1
916.089039888471,51.93513013519394,4.9,1
888.4992127593907,90.26082698629675,4.9,1
1036.7448303399337,60.47716686848889,2.7,1
856.8846101487236,89.5224379351609,4.9,1
1098.2714923013946,99.77243602121985,2.7,1
739.4038021396973,109.3589352485265,4.9,0
909.1920329040466,122.00427080930129,2.7,1
801.637500970177,100.94224766987573,6.0,1
1066.0963359156697,80.85366866572797,4.9,1
918.8306637126045,123.34064272963127,2.7,1
684.8874862224966,118.65554238028152,3.8000000000000003,0
940.5766657766578,149.69822046562,1.6,1
695.9034843244112,166.33598469357457,3.8000000000000003,1
